	shape	surface	color	target
0	convex	smooth	yellow	edible
1	bell	smooth	white	edible
2	convex	scaly	white	poisonous
3	convex	smooth	gray	edible
4	convex	scaly	yellow	edible
5	bell	smooth	white	edible
6	bell	scaly	white	edible
7	convex	scaly	white	poisonous
8	bell	smooth	yellow	edible
9	convex	scaly	yellow	edible
10	convex	scaly	yellow	edible
11	bell	smooth	yellow	edible
12	convex	scaly	white	poisonous
13	convex	fibrous	brown	edible
14	sunken	fibrous	gray	edible
15	flat	fibrous	white	edible
16	convex	smooth	brown	poisonous
17	convex	scaly	white	poisonous
18	convex	smooth	brown	poisonous
19	bell	smooth	yellow	edible
20	convex	scaly	brown	poisonous
21	bell	scaly	yellow	edible
22	bell	scaly	white	edible
23	bell	smooth	white	edible
24	flat	smooth	white	poisonous
25	convex	scaly	yellow	edible
26	convex	scaly	white	edible
27	flat	fibrous	brown	edible
28	convex	smooth	yellow	edible
29	bell	smooth	yellow	edible
30	convex	scaly	white	poisonous
31	convex	scaly	yellow	edible
32	convex	scaly	brown	edible
33	bell	scaly	yellow	edible
34	convex	fibrous	yellow	edible
35	sunken	fibrous	gray	edible
36	convex	scaly	brown	poisonous
37	convex	fibrous	yellow	edible
38	bell	smooth	yellow	edible
39	bell	scaly	yellow	edible
40	convex	scaly	yellow	edible
41	convex	fibrous	brown	edible
42	convex	scaly	white	poisonous
43	convex	smooth	yellow	edible
44	convex	scaly	white	edible
45	convex	scaly	yellow	edible
46	convex	smooth	white	edible
47	convex	scaly	yellow	edible
48	flat	scaly	yellow	edible
49	convex	scaly	brown	edible
50	convex	smooth	white	edible
51	bell	smooth	white	edible
52	convex	scaly	brown	poisonous
53	convex	smooth	white	poisonous
54	bell	scaly	yellow	edible
55	flat	fibrous	gray	edible
56	bell	smooth	white	edible
57	convex	smooth	yellow	edible
58	convex	scaly	brown	edible
59	sunken	fibrous	gray	edible
60	bell	scaly	yellow	edible
61	bell	smooth	yellow	edible
62	bell	scaly	yellow	edible
63	bell	scaly	white	edible
64	flat	smooth	brown	edible
65	convex	smooth	white	edible
66	flat	scaly	yellow	edible
67	convex	scaly	yellow	edible
68	convex	fibrous	gray	edible
69	flat	fibrous	yellow	edible
70	bell	scaly	white	edible
71	flat	fibrous	yellow	edible
72	convex	scaly	brown	edible
73	bell	smooth	yellow	edible
74	flat	smooth	yellow	edible
75	convex	smooth	white	edible
76	flat	scaly	brown	edible
77	convex	scaly	brown	poisonous
78	flat	scaly	brown	edible
79	convex	smooth	brown	edible
80	convex	scaly	white	poisonous
81	flat	fibrous	gray	edible
82	convex	fibrous	gray	edible
83	convex	scaly	yellow	edible
84	convex	smooth	brown	edible
85	bell	smooth	white	edible
86	convex	smooth	white	edible
87	flat	scaly	brown	edible
88	sunken	fibrous	brown	edible
89	convex	fibrous	brown	edible
90	bell	smooth	white	edible
91	convex	scaly	yellow	edible
92	convex	scaly	yellow	edible
93	convex	smooth	brown	edible
94	convex	smooth	white	edible
95	flat	scaly	brown	edible
96	convex	smooth	yellow	edible
97	bell	smooth	white	edible
98	convex	scaly	white	edible
99	convex	fibrous	brown	edible
100	bell	smooth	yellow	edible
101	flat	scaly	yellow	edible
102	convex	scaly	yellow	edible
103	bell	scaly	white	edible
104	convex	scaly	yellow	edible
105	convex	scaly	yellow	edible
106	bell	scaly	white	edible
107	bell	scaly	white	edible
108	convex	smooth	yellow	edible
109	convex	smooth	yellow	edible
110	sunken	fibrous	gray	edible
111	convex	fibrous	white	edible
112	convex	smooth	yellow	edible
113	convex	scaly	white	poisonous
114	convex	scaly	yellow	edible
115	sunken	fibrous	gray	edible
116	convex	scaly	yellow	edible
117	convex	smooth	yellow	edible
118	sunken	fibrous	brown	edible
119	convex	smooth	white	poisonous
120	convex	scaly	white	edible
121	flat	scaly	brown	poisonous
122	flat	smooth	gray	edible
123	convex	smooth	yellow	edible
124	convex	smooth	white	edible
125	bell	smooth	yellow	edible
126	flat	fibrous	gray	edible
127	convex	smooth	white	edible
128	bell	smooth	white	edible
129	bell	smooth	white	edible
130	bell	scaly	white	edible
131	flat	smooth	white	edible
132	convex	scaly	yellow	edible
133	flat	smooth	white	edible
134	convex	scaly	white	poisonous
135	flat	fibrous	white	edible
136	convex	scaly	yellow	edible
137	convex	smooth	brown	poisonous
138	bell	smooth	yellow	edible
139	convex	scaly	brown	edible
140	bell	scaly	yellow	edible
141	sunken	fibrous	brown	edible
142	flat	scaly	brown	edible
143	convex	scaly	yellow	edible
144	convex	fibrous	gray	edible
145	flat	fibrous	white	edible
146	convex	scaly	yellow	edible
