Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
05/08/2019,10:00:00,25.134513,25.456001,25.076061,25.329355,5248,141061224
05/08/2019,10:30:00,25.329355,25.378065,25.153998,25.261161,6738,117115525
05/08/2019,11:00:00,25.270903,25.290386,25.134513,25.192967,5293,67698245
05/08/2019,11:30:00,25.183225,25.280646,25.124773,25.124773,8424,80120466
05/08/2019,12:00:00,25.124773,25.261161,25.095546,25.115031,5963,70027142
05/08/2019,12:30:00,25.115031,25.153998,25.046835,25.105288,4864,99167276
05/08/2019,13:00:00,25.105288,25.173482,25.037094,25.115031,4841,50416945
05/08/2019,13:30:00,25.105288,25.144256,25.037094,25.076061,4623,44932179
05/08/2019,14:00:00,25.076061,25.124773,25.027352,25.056577,5486,38797316
05/08/2019,14:30:00,25.066319,25.144256,24.900704,24.939673,6186,88665028
05/08/2019,15:00:00,24.929931,25.027352,24.890962,24.929931,5067,53641202
05/08/2019,15:30:00,24.939673,24.949415,24.861737,24.929931,6278,63667582
05/08/2019,16:00:00,24.929931,24.97864,24.881221,24.910446,7419,105052513
05/08/2019,16:30:00,24.910446,24.968898,24.861737,24.890962,6965,208386890
05/08/2019,17:30:00,24.900704,24.939673,24.861737,24.871479,535,13874499
06/08/2019,10:00:00,25.231934,25.504713,25.153998,25.436518,3151,108317364
06/08/2019,10:30:00,25.426776,25.54368,25.329355,25.417034,5577,104836343
06/08/2019,11:00:00,25.417034,25.475486,25.290386,25.339097,4967,92847927
06/08/2019,11:30:00,25.339097,25.397549,25.290386,25.309871,2581,41852627
06/08/2019,12:00:00,25.309871,25.339097,25.173482,25.290386,3926,73394827
06/08/2019,12:30:00,25.290386,25.34884,25.241677,25.339097,3891,37490551
06/08/2019,13:00:00,25.339097,25.358582,25.261161,25.280646,2105,23177785
06/08/2019,13:30:00,25.290386,25.309871,25.231934,25.231934,2125,39281485
06/08/2019,14:00:00,25.231934,25.270903,25.173482,25.222192,2924,71432640
06/08/2019,14:30:00,25.222192,25.241677,25.056577,25.076061,3267,115783365
06/08/2019,15:00:00,25.085804,25.241677,25.056577,25.124773,3539,113955733
06/08/2019,15:30:00,25.124773,25.16374,25.066319,25.124773,3695,61049847
06/08/2019,16:00:00,25.124773,25.134513,25.01761,25.095546,4164,57429634
06/08/2019,16:30:00,25.095546,25.21245,25.027352,25.21245,5435,196387076
06/08/2019,17:30:00,25.21245,25.300128,25.192967,25.231934,313,8329177
07/08/2019,10:00:00,24.7838,24.7838,24.45257,24.520764,4948,148825540
07/08/2019,10:30:00,24.520764,24.569474,24.355149,24.423343,10022,221758954
07/08/2019,11:00:00,24.413601,24.549991,24.384376,24.50128,6513,106928118
07/08/2019,11:30:00,24.50128,24.598701,24.384376,24.549991,7235,142907216
07/08/2019,12:00:00,24.549991,24.598701,24.462312,24.530507,5197,207809014
07/08/2019,12:30:00,24.530507,24.569474,24.433086,24.481795,3689,70046857
07/08/2019,13:00:00,24.472055,24.491537,24.384376,24.462312,3132,64366423
07/08/2019,13:30:00,24.462312,24.530507,24.45257,24.472055,2423,33022793
07/08/2019,14:00:00,24.472055,24.50128,24.413601,24.442828,2447,36061232
07/08/2019,14:30:00,24.433086,24.588958,24.433086,24.520764,4201,82500124
07/08/2019,15:00:00,24.520764,24.520764,24.45257,24.50128,3165,43811516
07/08/2019,15:30:00,24.50128,24.569474,24.481795,24.569474,3808,66622506
07/08/2019,16:00:00,24.559732,24.579216,24.530507,24.549991,3529,72910052
07/08/2019,16:30:00,24.549991,25.066319,24.511022,24.939673,9168,404687327
07/08/2019,17:30:00,24.939673,24.988383,24.900704,24.959158,340,6676525
08/08/2019,10:00:00,25.426776,25.446261,25.280646,25.339097,2803,109795150
