Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
18/12/2019,09:00:00,114052.316553,114072.439585,113795.74789,113846.055471,27962,114347
18/12/2019,09:10:00,113846.055471,113911.455326,113770.5941,113906.424568,26246,97846
18/12/2019,09:20:00,113901.39381,113936.609117,113835.993955,113871.209261,20953,75904
18/12/2019,09:30:00,113876.24002,113986.916697,113851.086229,113971.824423,23240,90455
18/12/2019,09:40:00,113971.824423,114017.101246,113931.578359,113946.670633,21538,85784
18/12/2019,09:50:00,113941.639875,114002.008972,113916.486084,113931.578359,20079,73835
18/12/2019,10:00:00,113936.609117,113936.609117,113780.655616,113825.932439,42678,168027
18/12/2019,10:10:00,113830.963197,113921.516842,113705.194245,113876.24002,53867,217227
18/12/2019,10:20:00,113871.209261,114107.654891,113851.086229,114052.316553,44101,182768
18/12/2019,10:30:00,114052.316553,114157.962472,113951.701391,114142.870198,46495,189708
18/12/2019,10:40:00,114142.870198,114213.300811,114127.777924,114198.208537,33299,137931
18/12/2019,10:50:00,114198.208537,114218.331569,114132.808682,114137.83944,20974,96699
18/12/2019,11:00:00,114142.870198,114303.854457,114137.83944,114293.792941,36441,159923
18/12/2019,11:10:00,114288.762183,114323.977489,114248.516118,114283.731424,23694,112001
18/12/2019,11:20:00,114288.762183,114349.13128,114198.208537,114238.454602,26237,119916
18/12/2019,11:30:00,114238.454602,114313.915973,114198.208537,114238.454602,32291,156441
18/12/2019,11:40:00,114243.48536,114308.885215,114183.116263,114258.577634,27867,134510
18/12/2019,11:50:00,114258.577634,114530.238571,114233.423844,114464.838716,54131,252875
18/12/2019,12:00:00,114464.838716,114484.961748,114424.592651,114479.93099,17433,80956
18/12/2019,12:10:00,114484.961748,114545.330845,114454.777199,114479.93099,22125,121179
18/12/2019,12:20:00,114479.93099,114530.238571,114459.807957,114464.838716,12827,60419
18/12/2019,12:30:00,114464.838716,114585.57691,114454.777199,114505.08478,26415,134237
18/12/2019,12:40:00,114500.054022,114510.115538,114424.592651,114489.992506,19755,93119
18/12/2019,12:50:00,114495.023264,114530.238571,114429.623409,114444.715683,17535,87154
18/12/2019,13:00:00,114444.715683,114474.900232,114384.346586,114399.43886,22328,102121
18/12/2019,13:10:00,114399.43886,114515.146296,114374.28507,114500.054022,18822,86982
18/12/2019,13:20:00,114495.023264,114510.115538,114389.377344,114429.623409,15888,68888
18/12/2019,13:30:00,114429.623409,114459.807957,114389.377344,114444.715683,11547,54504
18/12/2019,13:40:00,114449.746441,114525.207813,114444.715683,114500.054022,12865,56647
18/12/2019,13:50:00,114505.08478,114550.361603,114495.023264,114525.207813,12017,59499
18/12/2019,14:00:00,114530.238571,114661.038281,114510.115538,114570.484635,25708,135664
18/12/2019,14:10:00,114570.484635,114580.546152,114510.115538,114520.177054,15341,75998
18/12/2019,14:20:00,114520.177054,114540.300087,114459.807957,114479.93099,13531,62432
18/12/2019,14:30:00,114484.961748,114525.207813,114454.777199,114510.115538,11963,55494
18/12/2019,14:40:00,114510.115538,114560.423119,114484.961748,114520.177054,13514,61976
18/12/2019,14:50:00,114525.207813,114640.915249,114474.900232,114630.853732,22850,111112
18/12/2019,15:00:00,114635.88449,114993.068315,114620.792216,114952.82225,81928,346303
18/12/2019,15:10:00,114952.82225,115088.652718,114907.545427,115068.529686,34853,178123
18/12/2019,15:20:00,115068.529686,115425.71351,115068.529686,115335.159864,55211,329825
18/12/2019,15:30:00,115335.159864,115355.282897,115214.42167,115234.544703,21777,114486
18/12/2019,15:40:00,115234.544703,115320.06759,115224.483186,115254.667735,15758,82145
18/12/2019,15:50:00,115254.667735,115304.975316,115214.42167,115259.698493,14232,76594
18/12/2019,16:00:00,115259.698493,115486.082607,115239.575461,115465.959575,34087,178799
18/12/2019,16:10:00,115465.959575,115606.820801,115405.590478,115601.790043,33722,188078
18/12/2019,16:20:00,115596.759285,115667.189898,115496.144123,115506.205639,24062,130035
18/12/2019,16:30:00,115506.205639,115576.636252,115481.051849,115526.328672,16313,84339
18/12/2019,16:40:00,115526.328672,115561.543978,115455.898058,115486.082607,13963,71918
18/12/2019,16:50:00,115486.082607,115606.820801,115455.898058,115591.728527,18848,90289
18/12/2019,17:00:00,115591.728527,115637.005349,115541.420946,115631.974591,15568,77005
18/12/2019,17:10:00,115637.005349,115637.005349,115501.174881,115566.574736,19746,86648
18/12/2019,17:20:00,115571.605494,115616.882317,115541.420946,115596.759285,11552,50225
18/12/2019,17:30:00,115596.759285,115692.343688,115576.636252,115672.220656,22148,115976
18/12/2019,17:40:00,115667.189898,115702.405205,115571.605494,115611.851559,16109,87725
18/12/2019,17:50:00,115606.820801,115667.189898,115536.390188,115561.543978,18436,109165
18/12/2019,18:00:00,115561.543978,115702.405205,115531.35943,115637.005349,10626,59549
18/12/2019,18:10:00,115687.31293,115687.31293,115687.31293,115687.31293,898,13348
19/12/2019,09:00:00,115460.928816,115551.482462,115365.344413,115410.621236,26008,109396
19/12/2019,09:10:00,115410.621236,115430.744268,115304.975316,115330.129106,25753,98150
19/12/2019,09:20:00,115330.129106,115400.559719,115264.729251,115315.036832,25133,103067
19/12/2019,09:30:00,115315.036832,115370.375171,115279.821525,115304.975316,18140,72137
19/12/2019,09:40:00,115304.975316,115325.098348,115244.606219,115279.821525,14887,61290
19/12/2019,09:50:00,115274.790767,115355.282897,115254.667735,115330.129106,18748,75608
19/12/2019,10:00:00,115330.129106,115415.651994,115179.206364,115390.498203,66877,267562
19/12/2019,10:10:00,115390.498203,115491.113365,115284.852283,115310.006074,62768,254793
19/12/2019,10:20:00,115310.006074,115380.436687,115219.452428,115269.760009,32239,135544
19/12/2019,10:30:00,115274.790767,115279.821525,115078.591202,115143.991057,50390,220681
19/12/2019,10:40:00,115149.021815,115355.282897,115133.929541,115330.129106,39720,162727
