Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
27/02/2020,09:00:00,104750,104815,104250,104255,50046,180695
27/02/2020,09:10:00,104260,104310,103705,103785,103842,392916
27/02/2020,09:20:00,103790,103870,103630,103690,71484,259073
27/02/2020,09:30:00,103695,103945,103635,103890,62218,246456
27/02/2020,09:40:00,103895,104175,103730,104125,84708,296450
27/02/2020,09:50:00,104125,104390,104045,104045,82950,296895
27/02/2020,10:00:00,104050,104735,104015,104450,124261,449056
27/02/2020,10:10:00,104450,104525,104180,104185,97716,335454
27/02/2020,10:20:00,104190,104645,103925,104560,123086,411695
27/02/2020,10:30:00,104565,105020,104350,104850,135635,499631
27/02/2020,10:40:00,104855,105260,104630,104835,108236,400594
27/02/2020,10:50:00,104835,105025,104600,104770,84439,313732
27/02/2020,11:00:00,104770,104830,104500,104605,89503,336742
27/02/2020,11:10:00,104605,104680,104420,104460,60765,214908
27/02/2020,11:20:00,104460,104470,104170,104235,75407,265041
27/02/2020,11:30:00,104230,104555,104005,104395,140721,516196
27/02/2020,11:40:00,104390,104420,103885,104115,123750,458733
27/02/2020,11:50:00,104120,104615,104010,104245,113239,430766
27/02/2020,12:00:00,104245,104395,103960,104215,89768,334147
27/02/2020,12:10:00,104215,104315,104035,104100,70764,270019
27/02/2020,12:20:00,104100,104185,103825,103850,75553,290260
27/02/2020,12:30:00,103850,104335,103675,104325,101791,381557
27/02/2020,12:40:00,104325,104670,104155,104630,92337,355498
27/02/2020,12:50:00,104625,104870,104470,104855,76037,304663
27/02/2020,13:00:00,104850,105155,104745,105035,85545,330500
27/02/2020,13:10:00,105030,105200,104710,105060,101183,387169
27/02/2020,13:20:00,105060,105065,104730,104820,56801,214110
27/02/2020,13:30:00,104825,105150,104715,104840,72927,272377
27/02/2020,13:40:00,104840,104975,104565,104765,73521,272536
27/02/2020,13:50:00,104765,105050,104595,105030,61399,233502
27/02/2020,14:00:00,105025,105360,104965,105285,90831,359682
27/02/2020,14:10:00,105290,105620,105270,105590,74270,292849
27/02/2020,14:20:00,105595,105695,105155,105670,88599,347977
27/02/2020,14:30:00,105675,106225,105595,106185,91332,363905
27/02/2020,14:40:00,106180,106570,106015,106565,84728,332921
27/02/2020,14:50:00,106565,106720,106400,106425,79801,298714
27/02/2020,15:00:00,106425,106985,106215,106965,102737,381620
27/02/2020,15:10:00,106960,107185,106810,106880,78728,306348
27/02/2020,15:20:00,106880,106915,106435,106475,81487,314888
27/02/2020,15:30:00,106480,106755,106265,106335,74976,295162
27/02/2020,15:40:00,106335,106420,105590,105985,115551,452041
27/02/2020,15:50:00,105985,106445,105810,105925,95600,364848
27/02/2020,16:00:00,105925,106125,105490,105545,87167,343752
