Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
17/02/2020,09:00:00,115500,115640,115380,115590,41955,151080
17/02/2020,09:10:00,115585,115635,115415,115515,38531,131848
17/02/2020,09:20:00,115515,115740,115320,115705,61085,216761
17/02/2020,09:30:00,115710,115800,115645,115780,31448,106771
17/02/2020,09:40:00,115775,115795,115605,115655,33143,111521
17/02/2020,09:50:00,115660,115730,115585,115700,33400,117165
17/02/2020,10:00:00,115700,115850,115520,115630,93206,319414
17/02/2020,10:10:00,115630,115665,115405,115430,65318,225076
17/02/2020,10:20:00,115430,115540,115345,115440,67310,238529
17/02/2020,10:30:00,115435,115645,115345,115630,69062,246109
17/02/2020,10:40:00,115630,115685,115360,115505,70365,254123
17/02/2020,10:50:00,115510,115660,115460,115485,46299,173342
17/02/2020,11:00:00,115485,115525,115415,115460,27643,107150
17/02/2020,11:10:00,115460,115610,115455,115585,30406,111335
17/02/2020,11:20:00,115580,115690,115530,115665,41675,158083
17/02/2020,11:30:00,115665,116000,115660,115905,80340,305644
17/02/2020,11:40:00,115910,115995,115805,115885,42155,165805
17/02/2020,11:50:00,115885,116020,115825,115895,39964,159203
17/02/2020,12:00:00,115895,116100,115845,116075,44837,166719
17/02/2020,12:10:00,116075,116140,116060,116100,24890,92673
17/02/2020,12:20:00,116100,116115,116025,116075,20638,78545
17/02/2020,12:30:00,116080,116145,115875,115900,46196,180000
17/02/2020,12:40:00,115900,115925,115800,115885,36162,139054
17/02/2020,12:50:00,115885,115965,115870,115955,19375,73125
17/02/2020,13:00:00,115955,115980,115745,115900,44621,165336
17/02/2020,13:10:00,115905,116045,115830,116030,34788,126261
17/02/2020,13:20:00,116030,116260,116025,116180,46056,182822
17/02/2020,13:30:00,116180,116235,116095,116135,21980,88927
17/02/2020,13:40:00,116130,116165,116010,116025,32039,127119
17/02/2020,13:50:00,116025,116105,115940,116045,30732,121918
17/02/2020,14:00:00,116040,116095,115945,115970,30655,120334
17/02/2020,14:10:00,115970,116025,115875,116020,30841,115707
17/02/2020,14:20:00,116015,116115,115975,116080,30023,114624
17/02/2020,14:30:00,116080,116165,115955,115990,38765,148765
17/02/2020,14:40:00,115985,116095,115965,116020,25664,104668
17/02/2020,14:50:00,116020,116085,115960,116025,17012,72823
17/02/2020,15:00:00,116025,116135,116010,116125,22284,84314
17/02/2020,15:10:00,116125,116210,116000,116055,33214,129472
17/02/2020,15:20:00,116055,116145,116050,116095,14624,59029
17/02/2020,15:30:00,116100,116125,116050,116085,9679,41470
17/02/2020,15:40:00,116085,116190,116080,116120,15316,62132
17/02/2020,15:50:00,116115,116125,115880,115895,37159,154759
17/02/2020,16:00:00,115895,116130,115875,116125,31965,128661
17/02/2020,16:10:00,116130,116230,116095,116120,30286,125035
17/02/2020,16:20:00,116120,116360,116110,116285,39439,163332
17/02/2020,16:30:00,116280,116395,116225,116285,29507,121876
17/02/2020,16:40:00,116285,116375,116270,116290,17415,73079
17/02/2020,16:50:00,116285,116310,116100,116225,29103,120452
17/02/2020,17:00:00,116230,116345,115955,116095,31189,135000
17/02/2020,17:10:00,116095,116140,115950,116105,24365,101182
17/02/2020,17:20:00,116110,116140,115930,115980,21459,86835
17/02/2020,17:30:00,115980,116035,115890,116005,17992,71752
17/02/2020,17:40:00,116010,116070,115950,115985,15572,68466
17/02/2020,17:50:00,115980,116070,115910,116000,15398,59378
17/02/2020,18:00:00,115995,116050,115760,115815,12240,61741
17/02/2020,18:10:00,115700,115700,115700,115700,885,8901
18/02/2020,09:00:00,114850,115035,114800,115005,46879,176993
18/02/2020,09:10:00,115005,115025,114840,114945,41833,166928
18/02/2020,09:20:00,114945,114985,114900,114925,20164,84986
18/02/2020,09:30:00,114925,115000,114885,114965,21888,85181
18/02/2020,09:40:00,114965,115040,114935,114970,31737,122629
18/02/2020,09:50:00,114970,115085,114970,115075,22569,84017
18/02/2020,10:00:00,115075,115095,114855,114860,63786,235310
18/02/2020,10:10:00,114865,114975,114705,114915,85896,314451
18/02/2020,10:20:00,114910,115290,114890,115285,82762,313988
18/02/2020,10:30:00,115280,115340,115115,115140,64504,249746
18/02/2020,10:40:00,115140,115155,114690,114805,100469,380821
18/02/2020,10:50:00,114810,114880,114580,114600,71747,286153
18/02/2020,11:00:00,114600,114800,114555,114755,50887,198671
18/02/2020,11:10:00,114755,114830,114670,114785,42731,172425
18/02/2020,11:20:00,114790,115060,114770,115010,55574,211249
18/02/2020,11:30:00,115010,115095,114905,115015,71572,293762
18/02/2020,11:40:00,115020,115135,115010,115045,46501,187833
18/02/2020,11:50:00,115045,115150,114945,115105,51095,199854
18/02/2020,12:00:00,115105,115190,114860,114865,61920,236079
18/02/2020,12:10:00,114865,115045,114775,115030,54720,208559
18/02/2020,12:20:00,115035,115100,114730,114750,51396,197130
18/02/2020,12:30:00,114750,114825,114680,114795,46032,195418
18/02/2020,12:40:00,114790,114850,114715,114760,28613,117720
18/02/2020,12:50:00,114755,114835,114700,114785,23256,93247
18/02/2020,13:00:00,114785,114860,114685,114795,30548,123609
18/02/2020,13:10:00,114795,114800,114445,114455,56859,242255
18/02/2020,13:20:00,114455,114520,114325,114410,60919,247800
18/02/2020,13:30:00,114410,114470,114360,114390,27387,114648
