Data,Hora,Abertura,Máxima,Mínima,Última,Negócios,Volume
21/02/2020,09:00:00,114400,114460,114390,114445,2354,11821
21/02/2020,09:01:00,114440,114480,114310,114425,10181,39502
21/02/2020,09:02:00,114430,114510,114405,114465,5560,23048
21/02/2020,09:03:00,114465,114500,114370,114405,3996,15145
21/02/2020,09:04:00,114405,114510,114355,114495,7097,32914
21/02/2020,09:05:00,114490,114500,114445,114450,3167,13052
21/02/2020,09:06:00,114450,114485,114450,114475,1627,6311
21/02/2020,09:07:00,114475,114485,114425,114435,1883,7452
21/02/2020,09:08:00,114435,114475,114230,114330,11068,45671
21/02/2020,09:09:00,114330,114340,114125,114140,12021,44012
21/02/2020,09:10:00,114135,114180,114075,114155,9890,32172
21/02/2020,09:11:00,114155,114220,114095,114140,8279,28641
21/02/2020,09:12:00,114140,114150,114045,114085,7947,28050
21/02/2020,09:13:00,114085,114130,114070,114105,4240,16892
21/02/2020,09:14:00,114105,114120,114080,114100,1685,6154
21/02/2020,09:15:00,114105,114115,113950,113955,11866,41482
21/02/2020,09:16:00,113955,114020,113950,113970,5486,18958
21/02/2020,09:17:00,113970,114015,113940,114010,5211,19724
21/02/2020,09:18:00,114005,114015,113955,113990,3121,13087
21/02/2020,09:19:00,113990,114020,113985,114020,2053,6729
21/02/2020,09:20:00,114020,114045,113990,113995,4504,14619
21/02/2020,09:21:00,113995,114020,113990,114015,1088,3412
21/02/2020,09:22:00,114010,114165,114010,114160,11319,42557
21/02/2020,09:23:00,114160,114165,114110,114140,4381,15010
21/02/2020,09:24:00,114140,114150,114115,114125,1817,5815
21/02/2020,09:25:00,114120,114170,114120,114140,3508,12433
21/02/2020,09:26:00,114140,114150,114120,114140,1741,6074
21/02/2020,09:27:00,114140,114145,114120,114140,1294,4407
21/02/2020,09:28:00,114135,114160,114130,114145,1460,5270
21/02/2020,09:29:00,114145,114185,114145,114175,3534,12119
21/02/2020,09:30:00,114175,114210,114155,114205,5717,20609
21/02/2020,09:31:00,114210,114210,114185,114195,2500,8173
21/02/2020,09:32:00,114200,114210,114130,114160,6693,23666
21/02/2020,09:33:00,114155,114185,114110,114160,6145,23213
21/02/2020,09:34:00,114165,114225,114135,114210,6291,21733
21/02/2020,09:35:00,114215,114225,114200,114215,3190,12331
21/02/2020,09:36:00,114215,114240,114155,114185,5808,22735
21/02/2020,09:37:00,114180,114220,114165,114175,2261,7679
21/02/2020,09:38:00,114175,114185,114160,114180,1798,5762
