Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
26/02/2020,13:00:00,108710,109135,108230,108435,82632,295627
26/02/2020,13:10:00,108435,108935,108035,108845,106247,388118
26/02/2020,13:20:00,108845,109045,108495,108680,95260,305478
26/02/2020,13:30:00,108680,108680,108425,108530,70830,244829
26/02/2020,13:40:00,108530,108565,108160,108395,87273,304956
26/02/2020,13:50:00,108390,108475,108200,108350,75746,252544
26/02/2020,14:00:00,108345,108435,107850,108020,129382,447986
26/02/2020,14:10:00,108015,108020,107710,107950,86540,290637
26/02/2020,14:20:00,107945,108040,107815,107905,65407,232278
26/02/2020,14:30:00,107905,108550,107900,108275,105885,390060
26/02/2020,14:40:00,108270,108270,107865,108025,80658,303249
26/02/2020,14:50:00,108025,108235,107985,108150,53687,208313
26/02/2020,15:00:00,108150,108170,107910,107920,67484,245642
26/02/2020,15:10:00,107920,108015,107535,107615,84636,315830
26/02/2020,15:20:00,107615,107705,107375,107565,86747,347338
26/02/2020,15:30:00,107570,107590,107000,107020,109698,436346
26/02/2020,15:40:00,107020,107190,106875,107015,108123,449435
26/02/2020,15:50:00,107010,107120,106610,106645,94862,393665
26/02/2020,16:00:00,106650,106955,106510,106535,87460,323679
26/02/2020,16:10:00,106535,106630,106365,106400,73375,291816
26/02/2020,16:20:00,106405,106615,106350,106390,56832,219889
26/02/2020,16:30:00,106390,106500,106260,106400,67046,280872
26/02/2020,16:40:00,106400,106455,106050,106145,75403,316946
26/02/2020,16:50:00,106145,106305,105805,105850,76834,331468
26/02/2020,17:00:00,105845,106010,105750,105815,67742,293827
26/02/2020,17:10:00,105820,105905,105470,105750,73412,336126
26/02/2020,17:20:00,105750,105795,105565,105765,49996,223802
26/02/2020,17:30:00,105755,105790,105620,105755,37059,162100
26/02/2020,17:40:00,105755,106295,105750,106170,57711,265179
26/02/2020,17:50:00,106170,106565,106140,106275,56638,264136
26/02/2020,18:00:00,106275,106455,106075,106140,21551,109364
26/02/2020,18:10:00,106085,106085,106085,106085,961,7849
